neur_set,region,n_neurs,context,r,pval,best_pc
keeps_plus_maybes,all,81,C1,0.6433541830775407,0.0447617112279995,1
keeps_plus_maybes,all,81,C2,0.4567049318196884,0.1845544228124626,3
keeps_plus_maybes,all,81,C3,0.3704483120501568,0.2919935300433222,4
keeps_plus_maybes,ACC,21,C1,0.6347202024258277,0.0486731543074971,2
keeps_plus_maybes,ACC,21,C2,0.4830221863337053,0.1573151477023818,5
keeps_plus_maybes,ACC,21,C3,0.3709302200482915,0.2913169415008538,2
keeps_plus_maybes,HIP,44,C1,0.5919941036252228,0.071382840832459,1
keeps_plus_maybes,HIP,44,C2,0.6018607192702385,0.0656265658664744,4
keeps_plus_maybes,HIP,44,C3,0.2415737384570513,0.5013314217925605,4
keeps_plus_maybes,OFC,16,C1,0.7905954955362506,0.0064774450854139,1
keeps_plus_maybes,OFC,16,C2,0.7211154497464083,0.0185965305677257,5
keeps_plus_maybes,OFC,16,C3,0.6836503637676812,0.029276983498095,4
keeps_plus_maybes,ACC+OFC,37,C1,0.7227527030571403,0.0182033800514321,1
keeps_plus_maybes,ACC+OFC,37,C2,0.6625324946568052,0.0368390556719801,5
keeps_plus_maybes,ACC+OFC,37,C3,0.3870932540025508,0.2691138160434565,5
keeps_minus_.8Hz_filter,all,37,C1,0.6386705569915304,0.0468563615391301,1
keeps_minus_.8Hz_filter,all,37,C2,0.453656116915217,0.1878778614982312,3
keeps_minus_.8Hz_filter,all,37,C3,0.5416675989497763,0.1058293670399721,4
keeps_minus_.8Hz_filter,ACC,11,C1,0.5587410781408386,0.0931669633976187,1
keeps_minus_.8Hz_filter,ACC,11,C2,0.5937281700415047,0.0703482328975172,4
keeps_minus_.8Hz_filter,ACC,11,C3,0.6719397563503513,0.0333246700821968,2
keeps_minus_.8Hz_filter,HIP,17,C1,0.7742616682693281,0.008563254848892,1
keeps_minus_.8Hz_filter,HIP,17,C2,0.523260315807834,0.1206403462815261,3
keeps_minus_.8Hz_filter,HIP,17,C3,0.2945291942244982,0.408758359322273,4
keeps_minus_.8Hz_filter,OFC,9,C1,0.4017370319048864,0.2498254591683346,2
keeps_minus_.8Hz_filter,OFC,9,C2,0.5149882071932196,0.1276945439524502,4
keeps_minus_.8Hz_filter,OFC,9,C3,0.3731696141652441,0.288183919310903,5
keeps_minus_.8Hz_filter,ACC+OFC,20,C1,0.559608389113424,0.0925509263922343,2
keeps_minus_.8Hz_filter,ACC+OFC,20,C2,0.7942710887000252,0.006063349817321,4
keeps_minus_.8Hz_filter,ACC+OFC,20,C3,0.5009756085008328,0.1402146958002998,2
keep_neurs,all,48,C1,0.6857331017171298,0.028594090997966972,1
keep_neurs,all,48,C2,0.3984756574776376,0.2540526735510665,4
keep_neurs,all,48,C3,0.48946810601638613,0.15103783847566918,3
keep_neurs,ACC,15,C1,0.4831622259948935,0.15717712745138926,1
keep_neurs,ACC,15,C2,0.5056879479865085,0.13592378566051974,5
keep_neurs,ACC,15,C3,0.5539327429012948,0.09662967588766654,2
keep_neurs,HIP,21,C1,0.7981575134605863,0.005646364809037712,1
keep_neurs,HIP,21,C2,0.6150347011277365,0.05842717595901894,4
keep_neurs,HIP,21,C3,0.2513810157272687,0.4835555723732859,1
keep_neurs,OFC,12,C1,0.5359069978865868,0.11033399208392555,4
keep_neurs,OFC,12,C2,0.6183446951197364,0.056704079670026074,4
keep_neurs,OFC,12,C3,0.5627915009427004,0.09031232428959385,2
keep_neurs,ACC+OFC,27,C1,0.6428932360499178,0.044965023234837614,2
keep_neurs,ACC+OFC,27,C2,0.6191195801647391,0.05630560468483127,4
keep_neurs,ACC+OFC,27,C3,0.485610092551346,0.15477635841225026,3
