chanID,unitID,keeps,maybes,questionables,mergers,notes
193,236,,,,,
193,418,,,,,
193,419,,,,,
194,280,,,,,
194,350,,,,,
195,578,,,,,
195,593,,,,,
196,523,,,,,
196,524,,,,,
196,537,,,,,
197,342,,,,,
197,396,,,,,
198,100,,,,,
198,163,,,,,
198,329,,,,,
198,484,,,,,
199,331,,,,,
199,371,,,,,
200,68,,,,,
201,85,,,,,
202,382,,,,,
203,5,,,,,
203,94,,,,,
203,301,,,,,
203,409,,,,,
203,495,,,,,
203,496,,,,,
204,525,,,,,
204,555,,,,,
204,674,,,,,
204,723,,,,,
205,70,,,,,
205,215,,,,,
205,216,,,,,
206,633,,,,,
206,744,,,,,
207,284,,,,,
207,413,,,,,
208,241,,,,,
208,245,,,,,
208,341,,,,,
209,686,,,,,
210,356,,,,,
211,331,,,,,
211,333,,,,,
212,177,,,,,
212,518,,,,,
213,192,,,,,
213,627,,,,,
214,385,,,,,
214,729,,,,,
215,851,,,,,
215,857,,,,,
216,525,,,,,
216,754,,,,,
217,124,,,,,
218,147,,,,,
219,33,,,,,
220,62,,,,,
222,26,,,,,
222,35,,,,,
223,124,,,,,
