chanID,unitID,keeps,maybes,questionables,mergers,notes
193,119,,,,,
193,133,,,,,
194,217,,,,,
194,271,,,,,
195,21,,,,,
195,579,,,,,
195,919,,,,,
195,1066,,,,,
195,1189,,,,,
195,1207,,,,,
195,1298,,,,,
195,1316,,,,,
195,1320,,,,,
195,1334,,,,,
195,1336,,,,,
195,1372,,,,,
195,1415,,,,,
195,1419,,,,,
195,1428,,,,,
195,1434,,,,,
195,1440,,,,,
195,1444,,,,,
195,1446,,,,,
195,1447,1,,,,
195,1462,,,,,
196,71,,,,,
196,91,,,,,
197,173,,,,,
197,184,,,,,
198,230,,,,,
198,449,,,,,
198,551,,,,,
198,594,,,,,
198,608,,,,,
198,641,,,,,
198,651,,,,,
198,654,,,,,
199,477,,,,,
199,578,1,,,,
199,603,,,,,
199,620,,,,,
200,46,,,,,
200,97,,,,,
201,1186,,,,,
201,1278,,,,,
201,1299,,,,,
201,1349,1,,,,
202,4503,1,,,,
202,4635,,,,,
202,4696,,low FR,,,
202,4885,,,,,
202,4897,,,,,
202,4914,,,,,
202,4973,1,,,,
202,4980,1,,,,
202,4984,,,,,
202,5010,1,,,,
203,989,,,,,
203,1105,,,,,
203,1215,,,,,
204,584,,,,,
204,631,,,,,
204,657,,,,,
205,560,,,,,
205,573,,1,,,
206,118,,,,,
206,1009,,,,,
206,1439,,,,,
206,1505,,,,,
206,1520,,,,,
206,1583,,,,,
206,1599,,,,,
206,1641,,1,,,
206,1652,,,,,
206,1674,,,,,
206,1675,,,,,
206,1678,,,,,
207,800,,,,,
207,877,,,,,
208,76,,,,,
209,98,,,,,
209,100,,,,,
210,58,,,,,
210,61,,,,,
210,62,,,,,
211,13,,,,,
211,15,,,,,
212,19,,,,,
212,21,,,,,
213,17,,,,,
213,18,,,,,
214,13,,,,,
214,19,,,,,
217,17,,,,,
217,19,,,,,
218,17,,,,,
218,29,,,,,
218,36,,,,,
219,44,,,,,
219,47,,,,,
220,40,,,,,
220,41,,,,,
221,33,,,,,
221,45,,,,,
222,5,,,,,
222,42,,,,,
223,48,,,,,
223,49,,,,,
224,11,,,,,
224,15,,,,,
224,16,,,,,
