chanID,unitID,keeps,maybes,notes,mergers
97,596,,,prob density,
97,612,1,,1,
98,1432,,,,
98,1502,,,,
98,1543,,,,
98,1583,1,,,
99,506,,,FR,
99,703,1,,,
100,636,,,,
100,683,,,isolation,
101,952,1,,,
102,2460,1,,,
102,2475,,,isolation,
102,2477,1,,,
103,1466,,,isolation,
103,1469,,,,
104,2349,,,isolation,
104,2405,,,,
104,2410,1,,,
105,1892,,,drift,
105,1938,,,drift,
106,2423,,,,
106,2448,,,drift,4
106,2455,,,drift,4
106,2457,,,FR,
106,2481,,,,
107,1518,,,,
107,1755,,,,
107,1776,,,drift,
108,1348,,,,
108,1396,,,,
108,1553,,,,
108,1566,,,,
108,1567,1,,,
109,1715,,,,
109,1760,1,,,5
109,1763,,,drift,5
109,1772,,,,
110,976,,,,
110,1042,,,,
110,1045,1,,,
111,1433,,,,
111,1799,,,isolation,
111,1825,,,,
111,1953,,,1,
111,1960,1,,,
111,1972,,,1,
112,1712,,,,
112,2185,,,,
112,2226,,,drift,
112,2236,1,,,
113,2769,,,,
113,3198,1,,,
113,3203,,,FR,
113,3227,,,drift,
113,3243,1,,,
114,2308,,,,
114,2323,,waveform,,
115,264,,,,
115,571,,,,
115,1998,,waveform,,
116,1747,,,,
116,1901,,,,
116,1921,,,,
116,1935,1,,,
117,1585,,,weird waveform,
117,1736,,,,
118,1558,,,,
118,2261,,,weird waveform,
118,2280,,,,
119,1663,,,,
119,1678,,,FR; ISI,
120,1373,,,,
120,1882,,,weird waveform,
121,130,,,,
121,147,,,sigma; AC,
122,82,,,sigma; AC,
122,117,,,,
123,141,,,sigma; AC,
123,163,,,sigma; AC,
124,157,,,sigma; AC,
124,172,,,sigma; AC,
125,148,,,sigma; AC,
125,151,,,sigma; AC,
126,118,,,sigma; AC,
126,156,,,sigma; AC,
127,182,,,sigma; AC,
127,188,,,sigma; AC,
128,167,,,sigma; AC,
128,174,,,sigma; AC,
